elapsed_time,current_x
1.4384586811065674,0.0
1.4384586811065674,0.00691
1.6067867279052734,0.05353
1.7069063186645508,0.12245
1.7979967594146729,0.2054
1.8659422397613525,0.28794
2.0139403343200684,0.35597
2.066380023956299,0.41844
2.2402074337005615,0.56537
2.447610855102539,0.64112
2.4666976928710938,0.71059
2.5663654804229736,0.77839
2.686372995376587,0.8501
2.786210775375366,0.92428
2.883253335952759,0.99808
3.0651743412017822,1.07033
3.0852298736572266,1.14162
3.2001230716705322,1.21326
3.265289783477783,1.28644
3.381885290145874,1.36046
3.465041399002075,1.43284
3.6898679733276367,1.6111
3.7666707038879395,1.68501
3.886025905609131,1.75734
3.985067844390869,1.82937
4.106317758560181,1.90088
4.281385660171509,1.99948
4.400091648101807,2.02396
