elapsed_time,current_x
1.1728203296661377,0.0
1.3892791271209717,0.00289
1.3892791271209717,0.03643
1.4895925521850586,0.11929
1.5903048515319824,0.21821
1.6909115314483643,0.31273
1.8339731693267822,0.3911
1.8961148262023926,0.45957
2.0084047317504883,0.5763
2.110628843307495,0.66232
2.2422800064086914,0.74501
2.360358715057373,0.82038
2.4406049251556396,0.8959
2.4812300205230713,0.97679
2.6583404541015625,1.061
2.7589104175567627,1.14198
2.853651762008667,1.22006
2.879013776779175,1.29815
2.9729647636413574,1.37866
3.0918378829956055,1.46028
3.2000391483306885,1.54047
3.3115434646606445,1.61933
3.420969009399414,1.69764
3.5402615070343018,1.77298
3.6607773303985596,1.83517
3.7579431533813477,1.87985
3.8587448596954346,1.91219
4.0402302742004395,1.93911
4.059772968292236,1.96068
4.096275806427002,1.9754
4.273650169372559,1.98652
4.356481313705444,1.99023
