elapsed_time,current_x,error,derivative,speed
0.2929961681365967,0.0,2.0,20.0,18.0
0.3954954147338867,0.0,2.0,0.0,10.0
0.49585819244384766,0.00421,1.99579,-0.04210000000000047,9.96211
0.6109280586242676,0.03797,1.96203,-0.3376000000000001,9.67511
0.7204515933990479,0.10332,1.89668,-0.6535000000000002,9.222
0.8228652477264404,0.17962,1.82038,-0.7629999999999981,8.796700000000001
0.9305429458618164,0.24788,1.7521200000000001,-0.6825999999999999,8.48756
1.0378401279449463,0.30223,1.69777,-0.5435000000000012,8.271449999999998
1.1434648036956787,0.35339,1.64661,-0.5116000000000009,8.028409999999997
1.2627291679382324,0.41214,1.58786,-0.5874999999999986,7.704300000000001
1.3787786960601807,0.50886,1.4911400000000001,-0.9671999999999992,7.0688200000000005
1.479236364364624,0.56848,1.43152,-0.5962000000000023,6.919119999999999
1.5886986255645752,0.62404,1.37596,-0.5555999999999983,6.657560000000001
1.6961910724639893,0.68193,1.31807,-0.5789,6.358790000000001
1.8063037395477295,0.74301,1.25699,-0.6108000000000002,6.04063
1.915602445602417,0.86571,1.13429,-1.2270000000000003,5.18065
2.026402473449707,0.92412,1.07588,-0.5841000000000007,5.145759999999999
2.135828733444214,0.98305,1.01695,-0.5892999999999993,4.84903
2.243514060974121,1.0441,0.9559,-0.6105000000000005,4.535299999999999
2.3522744178771973,1.10541,0.89459,-0.6130999999999998,4.22771
2.462373733520508,1.16566,0.8343400000000001,-0.6024999999999991,3.9307000000000007
2.571441173553467,1.22466,0.7753399999999999,-0.5900000000000016,3.640699999999999
2.6798293590545654,1.28397,0.7160299999999999,-0.5930999999999997,3.34291
2.7913506031036377,1.34481,0.6551899999999999,-0.6084,3.03259
2.901662588119507,1.40665,0.59335,-0.618399999999999,2.7193900000000006
3.0099658966064453,1.46704,0.5329600000000001,-0.6038999999999994,2.4232400000000007
3.1179826259613037,1.52713,0.4728699999999999,-0.600900000000002,2.1239899999999987
3.226339340209961,1.58821,0.4117900000000001,-0.610799999999998,1.814630000000001
3.334599256515503,1.71117,0.2888299999999999,-1.2296000000000018,0.9523099999999989
3.4441816806793213,1.77209,0.22791000000000006,-0.6091999999999986,0.8958700000000008
3.5462818145751953,1.83361,0.16639000000000004,-0.6152000000000002,0.5858700000000001
3.651442766189575,1.89496,0.10504000000000002,-0.6135000000000002,0.27980000000000005
3.762338399887085,1.9511,0.048899999999999944,-0.5614000000000008,0.019939999999999403
