time,x,y,z,pid_output,target_distance,relative_position,action
1754818800.4695017,0.0,0.0,0.0,,,,
1754818800.5267837,-1e-05,2e-05,0.0,,,,
1754818800.56727,-1e-05,-0.0,0.0,,,,
1754818800.627429,-0.0,1e-05,0.0,,,,
1754818800.6677063,0.0,-1e-05,0.0,,,,
1754818800.7273006,0.0,-0.0,0.0,,,,
1754818800.7674813,-1e-05,-2e-05,0.0,,,,
1754818800.8304613,-4e-05,-2e-05,0.0,,,,
1754818800.8689866,-4e-05,-1e-05,0.0,,,,
1754818800.9270847,-4e-05,-3e-05,0.0,,,,
1754818800.9886672,-2e-05,-0.0,0.0,0.22527566927029294,0.6,2e-05,Moving forward 0.6m on x-axis
1754818801.0306606,-3e-05,1e-05,0.0,0.3619661220152948,0.6,1.0000000000000003e-05,Moving forward 0.6m on x-axis
1754818801.0881536,-7e-05,0.00041,0.0,0.43755967697346454,0.6,2.999999999999999e-05,Moving forward 0.6m on x-axis
1754818801.1271553,-0.00019,0.00409,0.0,0.5649259411560942,0.6,2.999999999999999e-05,Moving forward 0.6m on x-axis
1754818801.187704,-0.00107,0.01744,0.0,-1.5,0.6,0.0010299999999999999,Moving forward 0.6m on x-axis
1754818801.2317004,-0.00035,0.04423,0.0,1.5,0.6,0.00031,Moving forward 0.6m on x-axis
1754818801.2872767,-0.0016,0.1223,0.0,-1.5,0.6,0.00156,Moving forward 0.6m on x-axis
1754818801.3322966,-0.0016,0.1223,0.0,1.0697442154882033,0.6,0.00156,Moving forward 0.6m on x-axis
1754818801.3878863,-0.00255,0.16941,0.0,1.2090308146001043,0.6,0.00156,Moving forward 0.6m on x-axis
1754818801.4478788,-0.00233,0.21788,0.0,1.5,0.6,0.00229,Moving forward 0.6m on x-axis
1754818801.4874787,-0.00233,0.31159,0.0,1.3535783136291504,0.6,0.00229,Moving forward 0.6m on x-axis
1754818801.5474787,-0.00262,0.35443,0.0,1.3643351167974471,0.6,0.00229,Moving forward 0.6m on x-axis
1754818801.591065,-0.00264,0.39325,0.0,1.2717895077745947,0.6,0.0026,Moving forward 0.6m on x-axis
1754818801.6490514,-0.00288,0.42932,0.0,0.18458453872391112,0.6,0.00284,Moving forward 0.6m on x-axis
1754818801.707698,-0.00328,0.46406,0.0,-1.5,0.6,0.00324,Moving forward 0.6m on x-axis
1754818801.746703,-0.00325,0.49988,0.0,1.5,0.6,0.0032099999999999997,Moving forward 0.6m on x-axis
1754818801.8073304,-0.00319,0.53807,0.0,1.5,0.6,0.00315,Moving forward 0.6m on x-axis
1754818801.8473194,-0.00337,0.57884,0.0,0.5081826687501,0.6,0.00333,Moving forward 0.6m on x-axis
1754818801.90739,-0.00345,0.62179,0.0,0.6153645264871174,0.6,0.00341,Moving forward 0.6m on x-axis
1754818801.94838,-0.00385,0.66518,0.0,-0.5638682136087607,0.6,0.00381,Moving forward 0.6m on x-axis
1754818802.0069773,-0.004,0.70775,0.0,-0.07988005639806395,0.6,0.00396,Moving forward 0.6m on x-axis
1754818802.0479484,-0.00428,0.74857,0.0,0.031996480359795854,0.6,0.00424,Moving forward 0.6m on x-axis
1754818802.1085393,-0.00479,0.78804,0.0,-1.0855470974171688,0.6,0.00475,Moving forward 0.6m on x-axis
1754818802.1681435,-0.00522,0.82604,0.0,-1.5,0.6,0.00518,Moving forward 0.6m on x-axis
1754818802.229183,-0.00557,0.86254,0.0,1.4802385566630365,0.6,0.00518,Moving forward 0.6m on x-axis
1754818802.2679245,-0.006,0.89991,0.0,-0.6508898625985449,0.6,0.00596,Moving forward 0.6m on x-axis
1754818802.3290942,-0.00571,0.9383,0.0,1.5,0.6,0.00567,Moving forward 0.6m on x-axis
1754818802.3671048,-0.0054,0.97888,0.0,1.5,0.6,0.00567,Moving forward 0.6m on x-axis
1754818802.4282248,-0.00523,1.02067,0.0,1.5,0.6,0.00536,Moving forward 0.6m on x-axis
1754818802.468287,-0.00509,1.06093,0.0,1.5,0.6,0.00505,Moving forward 0.6m on x-axis
1754818802.5274234,-0.00516,1.09632,0.0,1.5,0.6,0.00505,Moving forward 0.6m on x-axis
1754818802.5869758,-0.00768,1.12878,0.0,-1.5,0.6,0.00764,Moving forward 0.6m on x-axis
1754818802.648949,-0.01394,1.15085,0.0,-1.5,0.6,0.0139,Moving forward 0.6m on x-axis
1754818802.6915123,-0.04076,1.18084,0.0,1.5,0.6,0.0139,Moving forward 0.6m on x-axis
1754818802.7480395,-0.0395,1.21466,0.0,1.474488,0.6,0.04072,Moving forward 0.6m on x-axis
1754818802.7888403,-0.04126,1.24966,0.0,-1.5,0.6,0.04122,Moving forward 0.6m on x-axis
1754818802.8482654,-0.04236,1.28711,0.0,-1.5,0.6,0.04232,Moving forward 0.6m on x-axis
1754818802.8875945,-0.04204,1.32696,0.0,1.471128,0.6,0.04232,Moving forward 0.6m on x-axis
1754818802.9487052,-0.04114,1.35412,0.0,1.5,0.6,0.041100000000000005,Moving forward 0.6m on x-axis
1754818802.9882617,-0.0392,1.36185,0.0,1.47369,0.6,0.041100000000000005,Moving forward 0.6m on x-axis
1754818803.0482607,-0.03611,1.36155,0.0,1.477764,0.6,0.03916,Moving forward 0.6m on x-axis
1754818803.086826,-0.02563,1.37203,0.0,1.5,0.6,0.02559,Moving forward 0.6m on x-axis
1754818803.168854,-0.01382,1.39603,0.0,1.5,0.6,0.01378,Moving forward 0.6m on x-axis
1754818803.2286427,-0.00639,1.41091,0.0,1.5,0.6,0.00635,Moving forward 0.6m on x-axis
1754818803.2676475,-0.00227,1.41054,0.0,1.5,0.6,0.0022299999999999998,Moving forward 0.6m on x-axis
1754818803.3272045,0.00085,1.40473,0.0,1.5,0.6,0.00089,Moving forward 0.6m on x-axis
1754818803.3682253,0.00311,1.3977,0.0,-1.5,0.6,0.00315,Moving forward 0.6m on x-axis
1754818803.4288392,0.00702,1.39137,0.0,-1.5,0.6,0.00706,Moving forward 0.6m on x-axis
1754818803.4678626,0.01248,1.38651,0.0,-1.5,0.6,0.01252,Moving forward 0.6m on x-axis
1754818803.528419,0.02143,1.38558,0.0,-1.5,0.6,0.02147,Moving forward 0.6m on x-axis
1754818803.5694473,0.02902,1.38582,0.0,1.5,0.6,0.02147,Moving forward 0.6m on x-axis
