time,err_total,err_x,err_y,accumulate_err_x,accumulate_err_y,accumulate_err_total,controller_output_x,controller_output_y,gimbal_pitch_angle,gimbal_yaw_angle
0.01044464111328125,197.71696942852427,26.0,-196.0,26.0,-196.0,197.71696942852427,0.0,0.0,41.3,0.6
0.07028412818908691,245.15301344262525,50.0,240.0,76.0,44.0,87.8179936004006,-30.891448491344104,-155.5163142594179,41.3,0.6
0.10746455192565918,256.9124364447934,50.0,252.0,126.0,296.0,321.70172520519685,-30.349999999999998,-153.39971316224847,41.3,0.6
0.15101313591003418,262.8003044138267,50.0,258.0,176.0,554.0,581.2847839054451,-30.349999999999998,-156.79199915907498,41.3,0.5
0.1860504150390625,269.6145396672813,44.0,266.0,220.0,820.0,848.999411071645,-26.476817665031266,-161.77024311329163,41.3,-0.4
0.23154735565185547,269.2953768633988,42.0,266.0,262.0,1086.0,1117.157106229916,-25.43465535036787,-161.462,41.3,-2.2
0.279094934463501,268.70057685088807,38.0,266.0,300.0,1352.0,1384.8841106749692,-22.95242954836057,-161.462,41.3,-4.0
0.31319212913513184,267.686383665662,30.0,266.0,330.0,1618.0,1651.3097831721338,-17.893258399876935,-161.462,41.3,-5.2
0.3704209327697754,85.7962703152066,56.0,65.0,386.0,1683.0,1726.69771529356,-34.605327516403854,-34.71350650780094,41.3,-6.3
0.40647172927856445,60.8276253029822,44.0,42.0,430.0,1725.0,1777.7865451172702,-26.258634061689857,-24.63271528490556,41.3,-6.8
0.444019079208374,58.137767414994535,38.0,44.0,468.0,1769.0,1829.859284207395,-22.850272391656347,-26.779909202781216,41.3,-7.7
0.4855637550354004,40.24922359499622,-18.0,36.0,450.0,1805.0,1860.248639295296,12.74572776282489,-21.592038891025016,41.3,-9.2
0.5152533054351807,45.60701700396552,-28.0,36.0,422.0,1841.0,1888.74693911069,17.450705437375024,-21.852,41.3,-10.6
0.551311731338501,52.3450093132096,-36.0,38.0,386.0,1879.0,1918.2379935763968,22.151513906373975,-23.140878476593493,41.3,-11.2
0.5844070911407471,55.17245689653489,-40.0,38.0,346.0,1917.0,1947.974589156645,24.4431648675907,-23.066,41.3,-10.8
0.6201329231262207,46.389654018972806,6.0,46.0,352.0,1963.0,1994.3101564200088,-5.3802380353031465,-28.224302267009243,41.3,-9.8
0.6492433547973633,47.53945729601885,12.0,46.0,364.0,2009.0,2041.7093328875196,-7.562250769054366,-27.922,41.3,-9.3
0.6770462989807129,48.703182647543684,16.0,46.0,380.0,2055.0,2089.838510507451,-9.906224034850018,-27.922,41.3,-8.2
0.7087407112121582,48.703182647543684,16.0,46.0,396.0,2101.0,2137.993685678234,-9.712,-27.922,41.3,-8.6
0.7454395294189453,48.703182647543684,16.0,46.0,412.0,2147.0,2186.173140444279,-9.712,-27.922,41.3,-8.8
0.7728581428527832,49.03060268852505,10.0,48.0,422.0,2195.0,2235.1977541148344,-5.774580247300047,-29.234473250899985,41.3,-9.0
0.8115870952606201,16.401219466856727,-10.0,-13.0,412.0,2182.0,2220.5557862841456,6.7671528616543855,10.017316228045875,41.3,-9.3
0.8521947860717773,16.64331697709324,-14.0,-9.0,398.0,2173.0,2209.1475731602904,8.630979735910428,5.330020264089572,41.3,-9.7
0.8839170932769775,18.027756377319946,-18.0,1.0,380.0,2174.0,2206.9608061766753,11.096227214718947,-1.0325680367973664,41.3,-9.9
0.9171581268310547,20.024984394500787,-20.0,-1.0,360.0,2173.0,2202.6186687667932,12.22122491124133,0.6882249112413303,41.3,-9.4
0.9461255073547363,20.024984394500787,-20.0,-1.0,340.0,2172.0,2198.45036332413,12.14,0.607,41.3,-9.1
0.9938435554504395,18.681541692269406,-18.0,-5.0,322.0,2167.0,2190.792778881654,10.869417635302582,3.148164729394836,41.3,-8.2
1.0413284301757812,16.64331697709324,-14.0,-9.0,308.0,2158.0,2179.868803391617,8.38427957783959,5.576720422160409,41.3,-7.6
1.089503526687622,18.027756377319946,-10.0,-15.0,298.0,2143.0,2163.6203456244352,5.957908890879487,9.27313666368077,41.3,-7.6
1.1127440929412842,25.709920264364882,-6.0,-25.0,292.0,2118.0,2138.0336760678024,3.409647657933072,15.75588085516732,41.3,-7.1
1.1526315212249756,31.25699921617557,-4.0,-31.0,288.0,2087.0,2106.777871537481,2.360309499103407,19.020071502689778,41.3,-6.4
1.200047492980957,39.05124837953327,-2.0,-39.0,286.0,2048.0,2067.873303662485,1.1570571619644303,23.90077135214228,41.3,-6.2
1.247605562210083,43.18564576337837,-4.0,-43.0,282.0,2005.0,2024.734303556889,2.48477270006467,26.21454540012934,41.3,-6.0
1.2792255878448486,51.15662224971465,-4.0,-51.0,278.0,1954.0,1973.676771915807,2.428,31.298555700325732,41.3,-5.9
1.3125979900360107,51.35172830587107,-6.0,-51.0,272.0,1903.0,1922.3405005357401,3.7229051738179946,30.957,41.3,-5.8
1.3442974090576172,57.55866572463264,-8.0,-57.0,264.0,1846.0,1864.7820247953914,4.941175062614229,34.85452518784268,40.8,-5.7
1.374481439590454,65.76473218982953,-10.0,-65.0,254.0,1781.0,1799.0211227220207,6.159451274476505,39.812805097906015,39.8,-5.5
1.4222016334533691,72.3671196055225,-14.0,-71.0,240.0,1710.0,1726.7599717389792,8.61115964087473,43.2667394613121,39.2,-5.4
1.4559276103973389,70.83078426785913,-16.0,-69.0,224.0,1641.0,1656.2176789299165,9.792056984101176,41.80294301589882,37.4,-5.2
1.4870550632476807,60.40695324215582,-20.0,-57.0,204.0,1584.0,1597.0823397683664,12.31348030453898,34.07855908638306,37.4,-5.2
