time,err_total,err_x,err_y,accumulate_err_x,accumulate_err_y,accumulate_err_total,controller_output_x,controller_output_y,gimbal_pitch_angle,gimbal_yaw_angle
4.330057144165039,174.07182425654074,-90.0,-149.0,-90.0,-149.0,174.07182425654074,0.0,0.0,41.3,1.1
4.358888387680054,174.07182425654074,-90.0,-149.0,-180.0,-298.0,348.1436485130815,54.629999999999995,90.443,41.3,1.1
4.390584468841553,173.04623659588788,-88.0,-149.0,-268.0,-447.0,521.1842284643694,53.33081596774557,90.443,41.3,1.1
7.012675046920776,270.60118255469615,44.0,-267.0,-224.0,-714.0,748.3127688339949,-26.775961038985365,162.12975305000205,31.4,5.7
7.0603485107421875,259.47832279402456,48.0,-255.0,-176.0,-969.0,984.8537962560738,-29.24927056117065,154.44518831648804,31.0,5.7
7.093778610229492,260.83711392361323,50.0,-256.0,-126.0,-1225.0,1231.4629511276414,-30.430765538882863,155.43238276944143,27.8,4.9
7.127997159957886,216.33307652783935,-72.0,-204.0,-198.0,-1429.0,1442.652071706827,48.517178854957045,121.7764811437888,24.9,4.2
7.170820713043213,160.262285020525,-78.0,-140.0,-276.0,-1569.0,1593.0903929156061,47.53514824708404,82.96241869777023,22.0,3.7
7.21834135055542,140.68759717899798,32.0,-137.0,-244.0,-1706.0,1723.3606703183173,-22.548958076622046,83.07377387063757,13.6,3.5
7.266134977340698,80.0,64.0,48.0,-180.0,-1658.0,1667.742186310582,-39.75188620629449,-34.361592130140025,8.1,5.7
7.299972772598267,184.29595763336752,86.0,163.0,-94.0,-1495.0,1497.9522689324917,-53.079716759438014,-103.52906487888055,1.8,6.3
7.3319830894470215,150.45597362683876,74.0,131.0,-20.0,-1364.0,1364.1466196857286,-44.41191316316726,-78.16743510177936,1.5,5.6
7.373806715011597,175.1142484208524,64.0,163.0,44.0,-1201.0,1201.8057247325792,-38.52521593195797,-99.97390901773448,4.1,3.9
7.40964150428772,148.94629904767692,48.0,141.0,92.0,-1060.0,1063.98496229975,-28.533233793296162,-84.75819646578223,6.7,3.0
7.443472146987915,101.86756107809786,24.0,99.0,116.0,-961.0,967.9757228360637,-13.61028836894627,-58.41700464565597,12.1,0.9
7.488630533218384,47.042533945356304,2.0,47.0,118.0,-914.0,921.585590165124,-0.5563148504815002,-26.974471464774457,16.7,-1.1
7.536527156829834,71.58910531638176,-30.0,-65.0,88.0,-979.0,982.9470992886646,19.111942490778674,42.61179871772536,23.0,-3.2
7.584381341934204,107.54068997360952,-42.0,-99.0,46.0,-1078.0,1078.9810007595129,25.83252838502354,61.052163757566696,23.7,-3.1
7.617401123046875,133.76471881628578,-42.0,-127.0,4.0,-1205.0,1205.0066389858605,25.494,78.23376833965125,22.4,-2.1
7.649631500244141,141.38246001537814,-42.0,-135.0,-38.0,-1340.0,1340.5386976883585,25.494,82.28008760800094,20.9,-1.5
7.680910348892212,118.00423721205946,-34.0,-113.0,-72.0,-1453.0,1454.7828016580345,20.292718748713725,67.64147655896274,17.6,-0.1
7.726849555969238,54.3415126767741,-12.0,-53.0,-84.0,-1506.0,1508.3408102945434,6.637493412496172,30.40780021589865,14.1,1.0
7.761709928512573,15.524174696260024,-4.0,-15.0,-88.0,-1521.0,1523.5435668204568,2.1181926396060593,7.633415038128783,10.6,2.1
7.806506872177124,25.709920264364882,6.0,25.0,-82.0,-1496.0,1498.2456407411971,-3.9433598450173504,-16.3804393800694,8.4,2.7
7.854148864746094,59.53990258641679,8.0,59.0,-74.0,-1437.0,1438.9040968737283,-4.91267269260603,-36.77643577430252,7.7,2.7
7.888206481933594,68.06614430096654,12.0,67.0,-62.0,-1370.0,1371.402202127443,-7.442554838709677,-40.98610967741935,8.2,2.8
7.920934438705444,73.43704787094863,8.0,73.0,-54.0,-1297.0,1298.1236458827796,-4.691003448652665,-44.558494827021,9.8,2.5
7.948661804199219,69.26037828369117,6.0,69.0,-48.0,-1228.0,1228.9377526953917,-3.5446232766107464,-41.68824655322149,11.6,2.1
7.982152462005615,57.0,0.0,57.0,-48.0,-1171.0,1171.9833616566407,0.24185849220474123,-34.115283015590514,12.6,2.1
8.018352031707764,37.0,0.0,37.0,-48.0,-1134.0,1135.015418397477,0.0,-21.71313478054692,14.4,1.8
8.059401750564575,21.095023109728988,-2.0,21.0,-50.0,-1113.0,1114.1225246802974,1.2797738974880208,-12.220808820095833,15.7,1.8
8.091208934783936,9.219544457292887,-2.0,9.0,-52.0,-1104.0,1105.2239592046492,1.214,-4.953681102474346,16.2,1.8
8.13853669166565,5.0,0.0,5.0,-52.0,-1099.0,1100.2295215090348,-0.057048974595354324,-2.9209020508092913,16.9,1.9
8.17222285270691,3.0,0.0,3.0,-52.0,-1096.0,1097.2328832112169,0.0,-1.7408483912520347,17.0,1.9
8.202063798904419,3.605551275463989,2.0,3.0,-50.0,-1093.0,1094.143043664767,-1.3044797047027052,-1.821,17.1,1.9
8.249465227127075,9.219544457292887,6.0,7.0,-44.0,-1086.0,1086.8909788934675,-3.7559206180589086,-4.362920618058909,17.1,1.9
8.283262014389038,10.63014581273465,8.0,7.0,-36.0,-1079.0,1079.600389032905,-4.935889250391523,-4.249,17.2,1.9
8.329478979110718,12.206555615733702,10.0,7.0,-26.0,-1072.0,1072.3152521530224,-6.128420106475176,-4.249,17.4,1.8
8.363037824630737,10.63014581273465,8.0,7.0,-18.0,-1065.0,1065.1521018145718,-4.7755443121429995,-4.249,17.6,1.6
8.408685207366943,12.206555615733702,10.0,7.0,-8.0,-1058.0,1058.0302453143765,-6.129149064812832,-4.249,18.0,1.4
8.4426851272583,8.54400374531753,8.0,3.0,0.0,-1055.0,1055.0,-4.7765880481887155,-1.6621760963774315,18.4,1.0
8.488840818405151,8.06225774829855,4.0,-7.0,4.0,-1062.0,1062.0075329299693,-2.311004676870309,4.541488307824227,18.7,0.8
8.520813703536987,9.0,0.0,-9.0,4.0,-1071.0,1071.0074696284803,0.1688931098252103,5.5474465549126055,18.8,0.5
8.554899215698242,9.848857801796104,-4.0,-9.0,0.0,-1080.0,1080.0,2.5864250802644,5.463,18.7,0.4
8.586766481399536,10.816653826391969,-6.0,-9.0,-6.0,-1089.0,1089.016528800183,3.7267264407718033,5.463,18.6,0.4
8.620186567306519,12.206555615733702,-10.0,-7.0,-16.0,-1096.0,1096.1167820994258,6.231579476935809,4.168210261532096,18.4,0.4
8.65179443359375,12.36931687685298,-12.0,-3.0,-28.0,-1099.0,1099.3566300341304,7.369421773664321,1.6501564526713584,18.4,0.4
8.688695907592773,12.041594578792296,-12.0,-1.0,-40.0,-1100.0,1100.7270324653612,7.284,0.5338321910373701,18.1,0.6
8.711646795272827,12.36931687685298,-12.0,3.0,-52.0,-1097.0,1098.2317606042907,7.284,-2.056285017088601,17.7,0.9
8.74532699584961,11.180339887498949,-10.0,5.0,-62.0,-1092.0,1093.7586571085963,5.989834206632924,-3.115165793367076,17.6,1.1
8.78965973854065,9.219544457292887,-6.0,7.0,-68.0,-1085.0,1087.1287872188832,3.520193865928097,-4.309903067035951,17.4,1.5
8.823199987411499,10.816653826391969,-6.0,9.0,-74.0,-1076.0,1078.5416079132042,3.642,-5.543500297132459,17.3,2.0
8.854978799819946,8.06225774829855,-4.0,7.0,-78.0,-1069.0,1071.8418726659263,2.3430377312626605,-4.16403773126266,17.4,2.2
8.885891914367676,6.4031242374328485,-4.0,5.0,-82.0,-1064.0,1067.1550965065949,2.428,-2.9476584286474523,17.5,2.2
8.937134742736816,4.123105625617661,-4.0,1.0,-86.0,-1063.0,1066.4731595309843,2.428,-0.5016193999851113,17.6,2.4
8.965171337127686,6.082762530298219,-6.0,-1.0,-92.0,-1064.0,1067.9700370328749,3.738302709321904,0.7033027093219042,17.7,2.5
8.998603582382202,6.082762530298219,-6.0,-1.0,-98.0,-1065.0,1069.4994156146136,3.642,0.607,17.6,2.6
9.03142261505127,8.06225774829855,-8.0,-1.0,-106.0,-1066.0,1071.2572053433294,4.938269335212454,0.607,17.6,2.7
9.076651811599731,10.04987562112089,-10.0,1.0,-116.0,-1065.0,1071.298744515273,6.12969595319048,-0.6666959531904799,17.4,2.9
9.10834264755249,13.0,-12.0,5.0,-128.0,-1060.0,1067.700332490348,7.3691981312208,-3.205396262441601,17.4,2.9
9.14029312133789,17.804493814764857,-14.0,11.0,-142.0,-1049.0,1058.5674281782904,8.582505789120214,-6.930517367360644,17.3,3.1
9.173937797546387,16.278820596099706,-12.0,11.0,-154.0,-1038.0,1049.3617107556383,7.203749562062416,-6.677,17.2,3.4
9.20492935180664,19.209372712298546,-12.0,15.0,-166.0,-1023.0,1036.3807215497595,7.284,-9.279241019171002,17.2,3.6
9.23609185218811,17.0,-8.0,15.0,-174.0,-1008.0,1022.9076204623759,4.682714803565281,-9.105,17.3,4.1
9.270630836486816,16.15549442140351,-6.0,15.0,-180.0,-993.0,1009.1823422949889,3.563827463811634,-9.105,17.4,4.2
9.299866914749146,18.027756377319946,-6.0,17.0,-186.0,-976.0,993.565297300585,3.642,-10.411351647706422,17.6,4.5
9.331815004348755,15.132745950421556,-2.0,15.0,-188.0,-961.0,979.2165235533968,1.044975808955224,-9.020487904477612,18.0,4.6
9.363668203353882,13.0,0.0,13.0,-188.0,-948.0,966.4615874415289,-0.0847638568284906,-7.8062361431715095,18.1,4.7
9.411502599716187,11.180339887498949,2.0,11.0,-186.0,-937.0,955.2826806762488,-1.270444738625942,-6.620555261374058,18.6,4.8
9.44390082359314,6.4031242374328485,4.0,5.0,-182.0,-932.0,949.6041280449448,-2.5113379018014834,-2.7849862945955492,18.7,4.8
9.476042747497559,5.385164807134504,2.0,5.0,-180.0,-927.0,944.314036748369,-1.1299975610660693,-3.035,19.0,4.8
9.50815749168396,3.605551275463989,2.0,3.0,-178.0,-924.0,940.9888415916524,-1.214,-1.7369264671601126,19.1,4.7
9.556003332138062,2.23606797749979,2.0,-1.0,-176.0,-925.0,941.594923520725,-1.214,0.7198624755830177,19.3,4.6
9.619475841522217,3.605551275463989,2.0,-3.0,-174.0,-928.0,944.171594573783,-1.214,1.863538100765148,19.4,4.6
9.66761064529419,5.0,4.0,-3.0,-170.0,-931.0,946.3936812975877,-2.4840924692409803,1.821,19.4,4.5
9.699588775634766,6.708203932499369,6.0,-3.0,-164.0,-934.0,948.2889854891282,-3.7264327035772333,1.821,19.4,4.5
9.731442213058472,4.123105625617661,4.0,-1.0,-160.0,-935.0,948.5910604681029,-2.343236777617269,0.522236777617269,19.3,4.4
9.764549732208252,4.123105625617661,4.0,-1.0,-156.0,-936.0,948.9109547265223,-2.428,0.607,19.3,4.3
9.794789791107178,6.082762530298219,6.0,-1.0,-150.0,-937.0,948.9304505599976,-3.7312855403828564,0.607,19.4,4.2
9.82671856880188,6.082762530298219,6.0,-1.0,-144.0,-938.0,948.9889356573132,-3.642,0.607,19.4,4.2
9.858518362045288,4.123105625617661,4.0,-1.0,-140.0,-939.0,949.3792708923025,-2.3430937875811604,0.607,19.5,4.1
9.905523538589478,2.23606797749979,2.0,1.0,-138.0,-938.0,948.0970414467076,-1.1565595179402903,-0.6644404820597096,19.5,4.0
9.93742322921753,3.605551275463989,2.0,3.0,-136.0,-935.0,944.8391397481372,-1.214,-1.90564031928967,19.5,3.9
9.985790491104126,5.385164807134504,2.0,5.0,-134.0,-930.0,939.6041719788179,-1.214,-3.090822882972588,19.6,3.7
10.017578840255737,2.23606797749979,2.0,1.0,-132.0,-929.0,938.330965065099,-1.214,-0.437126441161029,19.8,3.7
10.06543779373169,9.0,0.0,9.0,-132.0,-920.0,929.4213253417419,0.05641577602311505,-5.68866310409246,19.9,3.7
10.100892782211304,21.840329667841555,-6.0,21.0,-138.0,-899.0,909.5300984574397,3.870458683738039,-13.203917367476077,20.0,3.6
10.145215034484863,20.615528128088304,-8.0,19.0,-146.0,-880.0,892.0291475058424,4.91691748188552,-11.47208251811448,20.1,3.6
10.177227020263672,6.708203932499369,-6.0,3.0,-152.0,-877.0,890.0747159649014,3.557656591295022,-1.146252730360175,20.4,3.7
10.209085702896118,56.0357029044876,-2.0,56.0,-154.0,-821.0,835.3185021295769,1.0445014660430307,-36.23785557492984,20.6,3.8
10.2405104637146,64.03124237432849,-2.0,64.0,-156.0,-757.0,772.9068507912192,1.214,-39.191678033458516,20.8,4.0
10.271885395050049,68.0294054067798,-2.0,68.0,-158.0,-689.0,706.8840074580836,1.214,-41.44811193045381,22.0,4.1
10.303975343704224,72.0,0.0,72.0,-158.0,-617.0,636.9089416863293,-0.08413849548645938,-43.87227699097292,22.7,4.1
10.336116313934326,54.147945482723536,-4.0,54.0,-162.0,-563.0,585.8438358470626,2.596009862842985,-32.021955617206565,24.5,4.2
10.384285688400269,25.298221281347036,-8.0,24.0,-170.0,-539.0,565.173424711389,4.968104424437108,-13.72721681672169,25.3,4.2
10.415748596191406,14.142135623730951,-14.0,2.0,-184.0,-537.0,567.6486589431883,8.755446007653545,-0.2700313052703367,26.7,4.2
