timestamp_iso,raw_tof_mm,calibrated_tof_cm,filtered_tof_cm,current_speed_ms,pid_output,error_cm,control_mode,t_detect,t_stop_command,response_time,total_time_from_start
2025-08-05T14:59:46.322173,1221,112.9983,112.9983,0.5,0,62.9983,FULL_SPEED,,,,
2025-08-05T14:59:46.322173,1190,110.2269,112.0712357414335,0.5,0,62.0712357414335,FULL_SPEED,,,,
2025-08-05T14:59:46.527682,1186,109.8693,111.33466363869009,0.5,0,61.33466363869009,FULL_SPEED,,,,
2025-08-05T14:59:46.527682,1209,111.9255,111.53230500162287,0.5,0,61.53230500162287,FULL_SPEED,,,,
2025-08-05T14:59:46.723704,1199,111.0315,111.3647801342216,0.5,0,61.364780134221604,FULL_SPEED,,,,
2025-08-05T14:59:46.938507,1223,113.1771,111.97102137426387,0.5,0,61.97102137426387,FULL_SPEED,,,,
2025-08-05T14:59:46.938507,1223,113.1771,112.37446814735364,0.5,0,62.37446814735364,FULL_SPEED,,,,
2025-08-05T14:59:46.952511,1239,114.6075,113.12144224666409,0.5,0,63.12144224666409,FULL_SPEED,,,,
2025-08-05T14:59:47.103749,1232,113.9817,113.40920807486371,0.5,0,63.40920807486371,FULL_SPEED,,,,
2025-08-05T14:59:47.103749,1243,114.96509999999999,113.92967130427343,0.5,0,63.92967130427343,FULL_SPEED,,,,
2025-08-05T14:59:47.153466,1223,113.1771,113.67792779622167,0.5,0,63.67792779622167,FULL_SPEED,,,,
2025-08-05T14:59:47.344085,1223,113.1771,113.51039530377247,0.5,0,63.51039530377247,FULL_SPEED,,,,
2025-08-05T14:59:47.352134,1073,99.7671,108.91310950199278,0.5,0,58.91310950199278,FULL_SPEED,,,,
2025-08-05T14:59:47.551687,940,87.87689999999999,101.87626243371884,0.5,0,51.876262433718836,FULL_SPEED,,,,
2025-08-05T14:59:47.759317,916,85.7313,96.47559214859238,0.31138646739556897,3.9504253326303522,46.47559214859238,PID_ACTIVE,,,,
2025-08-05T14:59:47.767594,790,74.4669,89.11343877168792,0.25,-2.277221981557299,39.113438771687925,PID_ACTIVE,,,,
2025-08-05T14:59:47.963378,475,46.305899999999994,74.79383886101776,0.25,0.028519132917537854,24.79383886101776,PID_ACTIVE,,,,
2025-08-05T14:59:47.976078,397,39.332699999999996,62.931691785130866,0.25,-2.6726946233254005,12.931691785130866,PID_ACTIVE,,,,
2025-08-05T14:59:48.116984,397,39.332699999999996,55.03756541499334,0.25,-0.11712884199667922,5.037565414993338,PID_ACTIVE,,,,
2025-08-05T14:59:48.116984,381,37.9023,49.305627720221416,0.0,0,-0.6943722797785838,STOPPED,,,,
2025-08-05T14:59:48.168456,364,36.38249999999999,44.98269713701178,0.125,-0.635846034183001,-5.017302862988217,PID_ACTIVE,1754380788.1169844,1754380788.1169844,0.0,2.013890266418457
2025-08-05T14:59:48.365033,364,36.38249999999999,42.10583512418451,0.125,-0.12372628300515626,-7.894164875815491,PID_ACTIVE,1754380788.1169844,1754380788.1169844,0.0,2.013890266418457
2025-08-05T14:59:48.365033,351,35.220299999999995,39.80254670867767,0.125,-0.2756013547396583,-10.197453291322333,PID_ACTIVE,1754380788.1169844,1754380788.1169844,0.0,2.013890266418457
2025-08-05T14:59:48.579849,291,29.8563,36.47541607776921,0.125,-0.18259085350607504,-13.52458392223079,PID_ACTIVE,1754380788.1169844,1754380788.1169844,0.0,2.013890266418457
2025-08-05T14:59:48.583881,293,30.0351,34.321058406710904,0.125,-1.7605606302157322,-15.678941593289096,PID_ACTIVE,1754380788.1169844,1754380788.1169844,0.0,2.013890266418457
2025-08-05T14:59:48.780322,240,25.2969,31.302376613211578,0.125,-0.23395713850323357,-18.697623386788422,PID_ACTIVE,1754380788.1169844,1754380788.1169844,0.0,2.013890266418457
2025-08-05T14:59:48.780322,224,23.8665,28.814992821907932,0.125,-0.399284046792116,-21.185007178092068,PID_ACTIVE,1754380788.1169844,1754380788.1169844,0.0,2.013890266418457
2025-08-05T14:59:48.882497,222,23.6877,27.099856097366047,0.125,-0.28024019387143884,-22.900143902633953,PID_ACTIVE,1754380788.1169844,1754380788.1169844,0.0,2.013890266418457
2025-08-05T14:59:48.894099,212,22.7937,25.659398779881656,0.125,-0.6167411524302422,-24.340601220118344,PID_ACTIVE,1754380788.1169844,1754380788.1169844,0.0,2.013890266418457
2025-08-05T14:59:48.990146,203,21.9891,24.43164283808744,0.125,-0.2949124859310453,-25.56835716191256,PID_ACTIVE,1754380788.1169844,1754380788.1169844,0.0,2.013890266418457
2025-08-05T14:59:49.137592,188,20.6481,23.16600549380437,0.125,-0.29497139589145555,-26.83399450619563,PID_ACTIVE,1754380788.1169844,1754380788.1169844,0.0,2.013890266418457
2025-08-05T14:59:49.137592,173,19.3071,21.87515849932796,0.125,-0.3789421302558731,-28.12484150067204,PID_ACTIVE,1754380788.1169844,1754380788.1169844,0.0,2.013890266418457
2025-08-05T14:59:49.185089,164,18.502499999999998,20.74696655623874,0.125,-0.364668844826163,-29.25303344376126,PID_ACTIVE,1754380788.1169844,1754380788.1169844,0.0,2.013890266418457
2025-08-05T14:59:49.389084,154,17.6085,19.69711443420828,0.125,-0.3193484453794708,-30.30288556579172,PID_ACTIVE,1754380788.1169844,1754380788.1169844,0.0,2.013890266418457
2025-08-05T14:59:49.415146,125,15.015899999999998,18.13119591337402,0.125,-0.49981627568489956,-31.86880408662598,PID_ACTIVE,1754380788.1169844,1754380788.1169844,0.0,2.013890266418457
