timestamp_iso,raw_tof_mm,calibrated_tof_cm,filtered_tof_cm,t_detect,t_stop_command,response_time,total_time_from_start
2025-08-05T15:09:50.427027,1577,144.8247,144.8247,,,,
2025-08-05T15:09:50.427027,1583,145.3611,144.95293029474476,,,,
2025-08-05T15:09:50.687440,1571,144.2883,144.79404562175552,,,,
2025-08-05T15:09:50.687440,1543,141.7851,144.07473543542312,,,,
2025-08-05T15:09:50.891662,1516,139.3713,142.95034521879873,,,,
2025-08-05T15:09:51.094966,1490,137.0469,141.5390839950549,,,,
2025-08-05T15:09:51.302984,1445,133.0239,139.5034677506629,,,,
2025-08-05T15:09:51.308645,1434,132.0405,137.71939140029332,,,,
2025-08-05T15:09:51.434105,1427,131.41469999999998,136.21220937841701,,,,
2025-08-05T15:09:51.508342,1405,129.44789999999998,134.5951523587689,,,,
2025-08-05T15:09:51.709068,1370,126.3189,132.61665444798018,,,,
2025-08-05T15:09:51.916290,1336,123.27929999999999,130.38449241777712,,,,
2025-08-05T15:09:52.118999,1280,118.27289999999999,127.48912876087905,,,,
2025-08-05T15:09:52.124945,1270,117.3789,125.07220554323439,,,,
2025-08-05T15:09:52.320075,1258,116.3061,122.97660469019051,,,,
2025-08-05T15:09:52.320075,1233,114.0711,120.8476794641016,,,,
2025-08-05T15:09:52.320075,1220,112.9089,118.94985688655592,,,,
2025-08-05T15:09:52.441902,1201,111.2103,117.09965990527888,,,,
2025-08-05T15:09:52.532750,1188,110.04809999999999,115.41393357219846,,,,
2025-08-05T15:09:52.737871,1140,105.7569,113.10534993811348,,,,
2025-08-05T15:09:52.754477,1130,104.8629,111.13493274015798,,,,
2025-08-05T15:09:52.931958,1094,101.6445,108.86617623843182,,,,
2025-08-05T15:09:52.953494,1081,100.4823,106.8619500617767,,,,
2025-08-05T15:09:53.140634,1045,97.26389999999999,104.56746686193196,,,,
2025-08-05T15:09:53.150390,1034,96.2805,102.58640757176474,,,,
2025-08-05T15:09:53.348619,1007,93.8667,100.50189848896156,,,,
2025-08-05T15:09:53.348619,983,91.72109999999999,98.40278518110549,,,,
2025-08-05T15:09:53.451685,957,89.3967,96.24981546210904,,,,
2025-08-05T15:09:53.573541,932,87.1617,94.07723581188388,,,,
2025-08-05T15:09:53.757331,919,85.9995,92.1461947156343,,,,
2025-08-05T15:09:53.773815,880,82.5129,89.84328602669125,,,,
2025-08-05T15:09:53.962625,868,81.4401,87.8344437056663,,,,
2025-08-05T15:09:53.966291,828,77.8641,85.45096102094541,,,,
2025-08-05T15:09:54.167531,815,76.7019,83.3594347840777,,,,
2025-08-05T15:09:54.167531,776,73.2153,80.93440608666347,,,,
2025-08-05T15:09:54.371706,736,69.6393,78.23422938519752,,,,
2025-08-05T15:09:54.442451,723,68.4771,75.90171712396194,,,,
2025-08-05T15:09:54.450387,697,66.1527,73.57114415737455,,,,
2025-08-05T15:09:54.592487,683,64.9011,71.49850747253052,,,,
2025-08-05T15:09:54.772596,643,61.32509999999999,69.06648092748713,,,,
2025-08-05T15:09:54.794204,629,60.073499999999996,66.91664387497818,,,,
2025-08-05T15:09:54.988800,551,53.1003,63.61374706777535,,,,
2025-08-05T15:09:55.189183,493,47.915099999999995,59.8608720853089,,,,
2025-08-05T15:09:55.398777,478,46.574099999999994,56.684573239846955,,,,
2025-08-05T15:09:55.402798,436,42.8193,53.36997951452557,,,,
2025-08-05T15:09:55.419523,419,41.299499999999995,50.484444194133395,,,,
2025-08-05T15:09:55.602727,419,41.299499999999995,48.28871693606475,,,,
2025-08-05T15:09:55.609847,355,35.5779,45.25010432950539,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:55.802022,326,32.985299999999995,42.31811425836548,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:55.815955,322,32.6277,40.001550730123206,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:56.006664,322,32.6277,38.2387784472603,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:56.006664,322,32.6277,36.89740961219648,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:56.218210,322,32.6277,35.876704686680924,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:56.355048,321,32.5383,35.07863493099407,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:56.377134,322,32.6277,34.49272123114017,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:56.419709,320,32.448899999999995,34.004131002067226,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:56.434141,321,32.5383,33.65371351243056,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:56.624840,321,32.5383,33.38706585497107,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:56.630611,320,32.448899999999995,33.16279053039534,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:56.825511,320,32.448899999999995,32.99212984223706,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:56.825511,319,32.3595,32.8408951085786,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:57.022398,319,32.3595,32.725814130462034,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:57.236198,318,32.2701,32.61687237567362,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
