timestamp_iso,tof
2025-07-23T10:47:10.454729,385
2025-07-23T10:47:10.654913,384
2025-07-23T10:47:10.864650,384
2025-07-23T10:47:10.864650,385
2025-07-23T10:47:10.876796,384
2025-07-23T10:47:11.072207,385
2025-07-23T10:47:11.072207,385
2025-07-23T10:47:11.238640,384
2025-07-23T10:47:11.471655,385
2025-07-23T10:47:11.471655,386
2025-07-23T10:47:11.673651,385
2025-07-23T10:47:11.687659,385
2025-07-23T10:47:11.888355,384
2025-07-23T10:47:11.888355,385
2025-07-23T10:47:12.087491,384
2025-07-23T10:47:12.087491,385
2025-07-23T10:47:12.087491,385
2025-07-23T10:47:12.254379,383
2025-07-23T10:47:12.254379,385
2025-07-23T10:47:12.504419,385
2025-07-23T10:47:12.517436,383
2025-07-23T10:47:12.707351,383
2025-07-23T10:47:12.717401,384
2025-07-23T10:47:12.903958,385
2025-07-23T10:47:12.903958,383
2025-07-23T10:47:13.116842,386
2025-07-23T10:47:13.276630,386
2025-07-23T10:47:13.338029,386
2025-07-23T10:47:13.521449,386
2025-07-23T10:47:13.537587,385
2025-07-23T10:47:13.721412,385
2025-07-23T10:47:13.938847,385
2025-07-23T10:47:14.142546,385
2025-07-23T10:47:14.271973,385
2025-07-23T10:47:14.356298,384
2025-07-23T10:47:14.553849,385
2025-07-23T10:47:14.754581,386
2025-07-23T10:47:14.754581,387
2025-07-23T10:47:14.961607,387
2025-07-23T10:47:15.166502,386
2025-07-23T10:47:15.171263,384
2025-07-23T10:47:15.290835,384
2025-07-23T10:47:15.290835,385
2025-07-23T10:47:15.370697,385
2025-07-23T10:47:15.570837,385
2025-07-23T10:47:15.570837,385
2025-07-23T10:47:15.770597,384
2025-07-23T10:47:15.970620,385
2025-07-23T10:47:15.986132,384
2025-07-23T10:47:15.987409,388
2025-07-23T10:47:16.187285,385
2025-07-23T10:47:16.189881,383
2025-07-23T10:47:16.189881,385
2025-07-23T10:47:16.293490,383
2025-07-23T10:47:16.390428,386
2025-07-23T10:47:16.390428,384
2025-07-23T10:47:16.587117,386
2025-07-23T10:47:16.671778,385
2025-07-23T10:47:16.804044,384
2025-07-23T10:47:16.806180,383
2025-07-23T10:47:17.003662,385
2025-07-23T10:47:17.003662,385
2025-07-23T10:47:17.216323,386
2025-07-23T10:47:17.218272,386
2025-07-23T10:47:17.312584,384
2025-07-23T10:47:17.438971,386
2025-07-23T10:47:17.572317,384
2025-07-23T10:47:17.623883,387
2025-07-23T10:47:17.638901,385
2025-07-23T10:47:17.821459,387
2025-07-23T10:47:18.030711,385
2025-07-23T10:47:18.030711,385
2025-07-23T10:47:18.236620,385
2025-07-23T10:47:18.324250,385
2025-07-23T10:47:18.338454,384
2025-07-23T10:47:18.438496,385
2025-07-23T10:47:18.647927,385
2025-07-23T10:47:18.656939,386
2025-07-23T10:47:18.852822,387
2025-07-23T10:47:18.853638,385
2025-07-23T10:47:19.053147,385
2025-07-23T10:47:19.056722,385
2025-07-23T10:47:19.254481,387
2025-07-23T10:47:19.275451,378
2025-07-23T10:47:19.337292,375
2025-07-23T10:47:19.464090,374
2025-07-23T10:47:19.669952,375
2025-07-23T10:47:19.669952,375
2025-07-23T10:47:19.871606,371
2025-07-23T10:47:20.071309,369
2025-07-23T10:47:20.087706,365
2025-07-23T10:47:20.287058,359
2025-07-23T10:47:20.287058,359
2025-07-23T10:47:20.337584,358
2025-07-23T10:47:20.491152,351
2025-07-23T10:47:20.686319,342
2025-07-23T10:47:20.686319,342
2025-07-23T10:47:20.886620,342
2025-07-23T10:47:21.103012,343
2025-07-23T10:47:21.103012,339
2025-07-23T10:47:21.310633,331
2025-07-23T10:47:21.354706,329
2025-07-23T10:47:21.503289,335
2025-07-23T10:47:21.719569,342
2025-07-23T10:47:21.919754,345
2025-07-23T10:47:21.936263,369
2025-07-23T10:47:22.135093,366
2025-07-23T10:47:22.319586,371
2025-07-23T10:47:22.536017,378
2025-07-23T10:47:22.736415,397
2025-07-23T10:47:22.736415,389
2025-07-23T10:47:22.757045,384
2025-07-23T10:47:22.950705,382
2025-07-23T10:47:22.953794,372
2025-07-23T10:47:23.157003,377
2025-07-23T10:47:23.158744,363
2025-07-23T10:47:23.354678,357
2025-07-23T10:47:23.553211,359
2025-07-23T10:47:23.753098,360
2025-07-23T10:47:23.769133,365
2025-07-23T10:47:23.969199,353
2025-07-23T10:47:23.969199,350
2025-07-23T10:47:24.172691,343
2025-07-23T10:47:24.172691,336
2025-07-23T10:47:24.372252,336
2025-07-23T10:47:24.373373,337
2025-07-23T10:47:24.377956,341
2025-07-23T10:47:24.585946,342
2025-07-23T10:47:24.585946,366
2025-07-23T10:47:24.785660,366
2025-07-23T10:47:24.985845,330
2025-07-23T10:47:24.985845,322
2025-07-23T10:47:25.201161,314
2025-07-23T10:47:25.385796,323
2025-07-23T10:47:25.385796,332
2025-07-23T10:47:25.610510,334
2025-07-23T10:47:25.619557,361
2025-07-23T10:47:25.810585,372
2025-07-23T10:47:25.818922,377
2025-07-23T10:47:26.019232,365
2025-07-23T10:47:26.222230,364
2025-07-23T10:47:26.387796,365
2025-07-23T10:47:26.441292,366
2025-07-23T10:47:26.636710,365
2025-07-23T10:47:26.636710,353
2025-07-23T10:47:26.836195,351
2025-07-23T10:47:26.836195,348
2025-07-23T10:47:27.035379,343
2025-07-23T10:47:27.235339,342
2025-07-23T10:47:27.235339,344
2025-07-23T10:47:27.251474,346
2025-07-23T10:47:27.401828,346
2025-07-23T10:47:27.453343,348
2025-07-23T10:47:27.657882,355
2025-07-23T10:47:27.661886,356
2025-07-23T10:47:27.852311,356
2025-07-23T10:47:27.852311,357
2025-07-23T10:47:27.951758,357
2025-07-23T10:47:28.002668,356
2025-07-23T10:47:28.062815,355
2025-07-23T10:47:28.272331,369
2025-07-23T10:47:28.279805,376
2025-07-23T10:47:28.418628,375
2025-07-23T10:47:28.418628,370
2025-07-23T10:47:28.481820,377
2025-07-23T10:47:28.679606,385
2025-07-23T10:47:28.679606,390
2025-07-23T10:47:28.886519,383
2025-07-23T10:47:29.091260,399
2025-07-23T10:47:29.106193,369
2025-07-23T10:47:29.287278,337
2025-07-23T10:47:29.303910,338
2025-07-23T10:47:29.434564,350
2025-07-23T10:47:29.502142,352
2025-07-23T10:47:29.704798,355
2025-07-23T10:47:29.901929,365
2025-07-23T10:47:29.923418,360
2025-07-23T10:47:30.116284,359
2025-07-23T10:47:30.116284,356
2025-07-23T10:47:30.117692,373
2025-07-23T10:47:30.320430,375
2025-07-23T10:47:30.320430,369
2025-07-23T10:47:30.435050,349
2025-07-23T10:47:30.718077,347
2025-07-23T10:47:30.734914,356
2025-07-23T10:47:30.934717,356
2025-07-23T10:47:30.944059,352
2025-07-23T10:47:31.135164,369
2025-07-23T10:47:31.335210,357
2025-07-23T10:47:31.450815,335
2025-07-23T10:47:31.450815,337
2025-07-23T10:47:31.568347,348
2025-07-23T10:47:31.751856,355
2025-07-23T10:47:31.751856,355
2025-07-23T10:47:31.952923,377
2025-07-23T10:47:32.166959,370
2025-07-23T10:47:32.368899,374
2025-07-23T10:47:32.385600,387
2025-07-23T10:47:32.467679,380
2025-07-23T10:47:32.569709,369
2025-07-23T10:47:32.586058,360
2025-07-23T10:47:32.767998,365
2025-07-23T10:47:32.784066,370
2025-07-23T10:47:32.984164,362
2025-07-23T10:47:33.187402,362
2025-07-23T10:47:33.388038,356
2025-07-23T10:47:33.403284,363
2025-07-23T10:47:33.464936,363
2025-07-23T10:47:33.601275,378
2025-07-23T10:47:33.803323,392
2025-07-23T10:47:34.006741,354
2025-07-23T10:47:34.210932,356
2025-07-23T10:47:34.224884,376
2025-07-23T10:47:34.416600,383
2025-07-23T10:47:34.420738,359
2025-07-23T10:47:34.484471,360
2025-07-23T10:47:34.621400,389
2025-07-23T10:47:34.818722,390
2025-07-23T10:47:35.017797,380
