timestamp_iso,tof
2025-07-23T10:44:19.844890,261
2025-07-23T10:44:19.844890,261
2025-07-23T10:44:20.048564,259
2025-07-23T10:44:20.264365,255
2025-07-23T10:44:20.466097,253
2025-07-23T10:44:20.484444,262
2025-07-23T10:44:20.666030,258
2025-07-23T10:44:20.880592,253
2025-07-23T10:44:20.881397,251
2025-07-23T10:44:20.881397,250
2025-07-23T10:44:21.084421,249
2025-07-23T10:44:21.281608,254
2025-07-23T10:44:21.305445,254
2025-07-23T10:44:21.487017,269
2025-07-23T10:44:21.505577,269
2025-07-23T10:44:21.676876,267
2025-07-23T10:44:21.686348,266
2025-07-23T10:44:21.901122,255
2025-07-23T10:44:22.096272,261
2025-07-23T10:44:22.112012,263
2025-07-23T10:44:22.314706,260
2025-07-23T10:44:22.511154,262
2025-07-23T10:44:22.511154,269
2025-07-23T10:44:22.684055,267
2025-07-23T10:44:22.684055,265
2025-07-23T10:44:22.928912,261
2025-07-23T10:44:22.928912,264
2025-07-23T10:44:23.014764,269
2025-07-23T10:44:23.037622,272
2025-07-23T10:44:23.084826,273
2025-07-23T10:44:23.144683,267
2025-07-23T10:44:23.328215,264
2025-07-23T10:44:23.344302,262
2025-07-23T10:44:23.540869,260
2025-07-23T10:44:23.688409,265
2025-07-23T10:44:23.748366,263
2025-07-23T10:44:23.951576,264
2025-07-23T10:44:23.965469,262
2025-07-23T10:44:24.153243,264
2025-07-23T10:44:24.166579,264
2025-07-23T10:44:24.362595,269
2025-07-23T10:44:24.562940,267
2025-07-23T10:44:24.686796,266
2025-07-23T10:44:24.765437,265
2025-07-23T10:44:24.786174,263
2025-07-23T10:44:24.979620,264
2025-07-23T10:44:24.987935,274
2025-07-23T10:44:25.034556,270
2025-07-23T10:44:25.065501,270
2025-07-23T10:44:25.116117,268
2025-07-23T10:44:25.184435,266
2025-07-23T10:44:25.380823,267
2025-07-23T10:44:25.592189,274
2025-07-23T10:44:25.604232,276
2025-07-23T10:44:25.704793,273
2025-07-23T10:44:25.804284,273
2025-07-23T10:44:25.998105,271
2025-07-23T10:44:25.998105,272
2025-07-23T10:44:26.206441,272
2025-07-23T10:44:26.395545,270
2025-07-23T10:44:26.414441,274
2025-07-23T10:44:26.612803,273
2025-07-23T10:44:26.612803,280
2025-07-23T10:44:26.818342,270
2025-07-23T10:44:26.818342,259
2025-07-23T10:44:27.027022,271
2025-07-23T10:44:27.045526,271
2025-07-23T10:44:27.067540,297
2025-07-23T10:44:27.104218,311
2025-07-23T10:44:27.234998,288
2025-07-23T10:44:27.434788,253
2025-07-23T10:44:27.445922,272
2025-07-23T10:44:27.642126,273
2025-07-23T10:44:27.706883,294
2025-07-23T10:44:27.831172,289
2025-07-23T10:44:27.847464,271
2025-07-23T10:44:28.047120,262
2025-07-23T10:44:28.064543,270
2025-07-23T10:44:28.244813,256
2025-07-23T10:44:28.265195,269
2025-07-23T10:44:28.445663,270
2025-07-23T10:44:28.461825,274
2025-07-23T10:44:28.663621,291
2025-07-23T10:44:28.718603,303
2025-07-23T10:44:28.718603,300
2025-07-23T10:44:28.862335,307
2025-07-23T10:44:29.059854,311
2025-07-23T10:44:29.075544,310
2025-07-23T10:44:29.277337,311
2025-07-23T10:44:29.277337,310
2025-07-23T10:44:29.483860,310
2025-07-23T10:44:29.487907,307
2025-07-23T10:44:29.686349,311
2025-07-23T10:44:29.715024,329
2025-07-23T10:44:29.835836,264
2025-07-23T10:44:29.847490,224
2025-07-23T10:44:29.866588,278
2025-07-23T10:44:29.903907,297
2025-07-23T10:44:30.095975,290
2025-07-23T10:44:30.103008,287
2025-07-23T10:44:30.296808,356
2025-07-23T10:44:30.303587,364
2025-07-23T10:44:30.508145,345
2025-07-23T10:44:30.714196,370
2025-07-23T10:44:30.714196,366
2025-07-23T10:44:30.911786,369
2025-07-23T10:44:30.911786,369
2025-07-23T10:44:31.041641,369
2025-07-23T10:44:31.064614,366
2025-07-23T10:44:31.116434,362
2025-07-23T10:44:31.164526,361
2025-07-23T10:44:31.325393,363
2025-07-23T10:44:31.528986,357
2025-07-23T10:44:31.528986,357
2025-07-23T10:44:31.725609,363
2025-07-23T10:44:31.741347,362
2025-07-23T10:44:31.929116,362
2025-07-23T10:44:31.929116,362
2025-07-23T10:44:31.943221,360
2025-07-23T10:44:32.145254,353
2025-07-23T10:44:32.313395,311
2025-07-23T10:44:32.335982,253
2025-07-23T10:44:32.397114,299
2025-07-23T10:44:32.496710,297
2025-07-23T10:44:32.584304,280
2025-07-23T10:44:32.648322,225
2025-07-23T10:44:32.664106,300
2025-07-23T10:44:32.731126,287
2025-07-23T10:44:32.765628,306
2025-07-23T10:44:32.846270,312
2025-07-23T10:44:32.867380,267
2025-07-23T10:44:32.948344,269
2025-07-23T10:44:32.965556,320
2025-07-23T10:44:33.098341,270
2025-07-23T10:44:33.247241,350
2025-07-23T10:44:33.334855,361
2025-07-23T10:44:33.367470,361
2025-07-23T10:44:33.501069,361
2025-07-23T10:44:33.656687,364
2025-07-23T10:44:33.795438,367
2025-07-23T10:44:33.821362,366
2025-07-23T10:44:33.946207,362
2025-07-23T10:44:34.065949,362
2025-07-23T10:44:34.085743,361
2025-07-23T10:44:34.224376,362
2025-07-23T10:44:34.379321,366
2025-07-23T10:44:34.516654,363
2025-07-23T10:44:34.678742,365
2025-07-23T10:44:34.817040,357
2025-07-23T10:44:34.817040,345
2025-07-23T10:44:34.976522,321
2025-07-23T10:44:35.063137,286
2025-07-23T10:44:35.084818,270
2025-07-23T10:44:35.145834,248
2025-07-23T10:44:35.218011,244
2025-07-23T10:44:35.418461,252
2025-07-23T10:44:35.618905,347
2025-07-23T10:44:35.782351,351
2025-07-23T10:44:35.782351,357
2025-07-23T10:44:35.846041,362
2025-07-23T10:44:36.026000,363
2025-07-23T10:44:36.044683,369
2025-07-23T10:44:36.242891,372
2025-07-23T10:44:36.242891,367
2025-07-23T10:44:36.447294,372
2025-07-23T10:44:36.653453,369
2025-07-23T10:44:36.667004,370
2025-07-23T10:44:36.845621,368
2025-07-23T10:44:36.867196,370
2025-07-23T10:44:37.061036,369
2025-07-23T10:44:37.064720,366
2025-07-23T10:44:37.125272,363
2025-07-23T10:44:37.164928,357
2025-07-23T10:44:37.261946,349
2025-07-23T10:44:37.426121,350
2025-07-23T10:44:37.464310,344
2025-07-23T10:44:37.514304,340
2025-07-23T10:44:37.597479,337
2025-07-23T10:44:37.618911,332
2025-07-23T10:44:37.703038,330
2025-07-23T10:44:37.780334,347
2025-07-23T10:44:37.863841,347
2025-07-23T10:44:37.929934,348
2025-07-23T10:44:37.929934,353
2025-07-23T10:44:38.044903,360
2025-07-23T10:44:38.200098,365
2025-07-23T10:44:38.204230,371
2025-07-23T10:44:38.347734,370
2025-07-23T10:44:38.365058,371
2025-07-23T10:44:38.462059,369
2025-07-23T10:44:38.593916,369
2025-07-23T10:44:38.764878,364
2025-07-23T10:44:38.898477,352
2025-07-23T10:44:38.996747,330
2025-07-23T10:44:39.098656,328
2025-07-23T10:44:39.245717,339
2025-07-23T10:44:39.266548,345
2025-07-23T10:44:39.397691,350
2025-07-23T10:44:39.563534,356
2025-07-23T10:44:39.706590,310
2025-07-23T10:44:39.851271,309
2025-07-23T10:44:39.851915,354
2025-07-23T10:44:39.994604,361
2025-07-23T10:44:40.063835,357
2025-07-23T10:44:40.102354,356
2025-07-23T10:44:40.333223,360
2025-07-23T10:44:40.333223,367
2025-07-23T10:44:40.345060,354
2025-07-23T10:44:40.542952,328
2025-07-23T10:44:40.542952,306
2025-07-23T10:44:40.745060,316
2025-07-23T10:44:40.745060,267
2025-07-23T10:44:40.834840,353
2025-07-23T10:44:40.844756,364
2025-07-23T10:44:40.961041,366
2025-07-23T10:44:41.155777,340
2025-07-23T10:44:41.360091,324
2025-07-23T10:44:41.565710,295
2025-07-23T10:44:41.565710,362
2025-07-23T10:44:41.758931,244
2025-07-23T10:44:41.774928,297
2025-07-23T10:44:41.845540,350
2025-07-23T10:44:41.980814,346
2025-07-23T10:44:42.179240,366
2025-07-23T10:44:42.376029,320
2025-07-23T10:44:42.581205,301
2025-07-23T10:44:42.594322,342
2025-07-23T10:44:42.802567,360
2025-07-23T10:44:42.845737,311
2025-07-23T10:44:43.002673,356
2025-07-23T10:44:43.202896,310
2025-07-23T10:44:43.405733,364
2025-07-23T10:44:43.424623,341
2025-07-23T10:44:43.614382,255
2025-07-23T10:44:43.625077,357
2025-07-23T10:44:43.818279,304
2025-07-23T10:44:43.823926,320
2025-07-23T10:44:44.021346,347
2025-07-23T10:44:44.228211,343
2025-07-23T10:44:44.431122,353
2025-07-23T10:44:44.445299,302
2025-07-23T10:44:44.636480,333
2025-07-23T10:44:44.645029,345
2025-07-23T10:44:44.844624,371
2025-07-23T10:44:45.044919,291
2025-07-23T10:44:45.245449,233
2025-07-23T10:44:45.245449,364
2025-07-23T10:44:45.266901,365
2025-07-23T10:44:45.458099,356
2025-07-23T10:44:45.458099,340
2025-07-23T10:44:45.664775,297
2025-07-23T10:44:45.847266,286
2025-07-23T10:44:46.061285,360
2025-07-23T10:44:46.084695,328
2025-07-23T10:44:46.276648,365
2025-07-23T10:44:46.477986,264
2025-07-23T10:44:46.675132,361
2025-07-23T10:44:46.850248,359
2025-07-23T10:44:46.850248,361
2025-07-23T10:44:46.865220,356
2025-07-23T10:44:47.091956,330
2025-07-23T10:44:47.091956,299
2025-07-23T10:44:47.153083,354
2025-07-23T10:44:47.165120,363
2025-07-23T10:44:47.211945,362
2025-07-23T10:44:47.304114,340
2025-07-23T10:44:47.494682,280
2025-07-23T10:44:47.507838,354
2025-07-23T10:44:47.706760,329
2025-07-23T10:44:47.725304,361
2025-07-23T10:44:47.863388,267
2025-07-23T10:44:47.927786,304
2025-07-23T10:44:48.108580,355
2025-07-23T10:44:48.124644,331
2025-07-23T10:44:48.328095,260
2025-07-23T10:44:48.527277,285
2025-07-23T10:44:48.544997,326
2025-07-23T10:44:48.727178,346
2025-07-23T10:44:48.745867,330
2025-07-23T10:44:48.877104,304
2025-07-23T10:44:48.884098,357
2025-07-23T10:44:48.945155,367
2025-07-23T10:44:49.144360,358
2025-07-23T10:44:49.339267,321
2025-07-23T10:44:49.363125,325
2025-07-23T10:44:49.550860,288
