timestamp_iso,tof
2025-07-23T10:58:57.831777,286
2025-07-23T10:58:58.037417,292
2025-07-23T10:58:58.037417,292
2025-07-23T10:58:58.241142,283
2025-07-23T10:58:58.241142,280
2025-07-23T10:58:58.445474,289
2025-07-23T10:58:58.445474,277
2025-07-23T10:58:58.455541,276
2025-07-23T10:58:58.642616,276
2025-07-23T10:58:58.655996,276
2025-07-23T10:58:58.850729,273
2025-07-23T10:58:58.850729,270
2025-07-23T10:58:59.058473,284
2025-07-23T10:58:59.255836,280
2025-07-23T10:58:59.275563,285
2025-07-23T10:58:59.458128,290
2025-07-23T10:58:59.473614,296
2025-07-23T10:58:59.643430,283
2025-07-23T10:58:59.867624,280
2025-07-23T10:59:00.069443,286
2025-07-23T10:59:00.091482,278
2025-07-23T10:59:00.209759,298
2025-07-23T10:59:00.292854,289
2025-07-23T10:59:00.492744,287
2025-07-23T10:59:00.652448,291
2025-07-23T10:59:00.699177,283
2025-07-23T10:59:00.857699,290
2025-07-23T10:59:00.857699,274
2025-07-23T10:59:00.878787,272
2025-07-23T10:59:01.105306,271
2025-07-23T10:59:01.307307,271
2025-07-23T10:59:01.505740,278
2025-07-23T10:59:01.656218,278
2025-07-23T10:59:01.725478,276
2025-07-23T10:59:01.872771,275
2025-07-23T10:59:01.872771,276
2025-07-23T10:59:01.925636,277
2025-07-23T10:59:01.925636,278
2025-07-23T10:59:02.134207,280
2025-07-23T10:59:02.324133,278
2025-07-23T10:59:02.539431,275
2025-07-23T10:59:02.539431,271
2025-07-23T10:59:02.556815,273
2025-07-23T10:59:02.676138,273
2025-07-23T10:59:02.677601,282
2025-07-23T10:59:02.745798,278
2025-07-23T10:59:02.913460,273
2025-07-23T10:59:03.156367,274
2025-07-23T10:59:03.156872,273
2025-07-23T10:59:03.354085,274
2025-07-23T10:59:03.376905,286
2025-07-23T10:59:03.569136,285
2025-07-23T10:59:03.570674,280
2025-07-23T10:59:03.678940,340
2025-07-23T10:59:03.774734,292
2025-07-23T10:59:03.973778,299
2025-07-23T10:59:03.973778,288
2025-07-23T10:59:04.170808,289
2025-07-23T10:59:04.373875,277
2025-07-23T10:59:04.373875,282
2025-07-23T10:59:04.389640,281
2025-07-23T10:59:04.589571,278
2025-07-23T10:59:04.589571,285
2025-07-23T10:59:04.788824,302
2025-07-23T10:59:04.788824,295
2025-07-23T10:59:04.873836,283
2025-07-23T10:59:05.007408,282
2025-07-23T10:59:05.205238,335
2025-07-23T10:59:05.217312,307
2025-07-23T10:59:05.407497,291
2025-07-23T10:59:05.416382,288
2025-07-23T10:59:05.615853,278
2025-07-23T10:59:05.816849,284
2025-07-23T10:59:05.816849,278
2025-07-23T10:59:06.022557,283
2025-07-23T10:59:06.036449,279
2025-07-23T10:59:06.219968,282
2025-07-23T10:59:06.237845,500
2025-07-23T10:59:06.424216,292
2025-07-23T10:59:06.424216,301
2025-07-23T10:59:06.637387,285
2025-07-23T10:59:06.694769,285
2025-07-23T10:59:06.695767,281
2025-07-23T10:59:06.842580,276
2025-07-23T10:59:07.036652,274
2025-07-23T10:59:07.058371,274
2025-07-23T10:59:07.251601,275
2025-07-23T10:59:07.252512,279
2025-07-23T10:59:07.456793,286
2025-07-23T10:59:07.458454,485
2025-07-23T10:59:07.661091,512
2025-07-23T10:59:07.661939,300
2025-07-23T10:59:07.676532,290
2025-07-23T10:59:07.865292,302
2025-07-23T10:59:08.072862,259
2025-07-23T10:59:08.072862,255
2025-07-23T10:59:08.272971,255
2025-07-23T10:59:08.272971,258
2025-07-23T10:59:08.472071,266
2025-07-23T10:59:08.493396,501
2025-07-23T10:59:08.685493,509
2025-07-23T10:59:08.687502,500
2025-07-23T10:59:08.886534,500
2025-07-23T10:59:08.886534,304
2025-07-23T10:59:09.090702,284
2025-07-23T10:59:09.288436,272
2025-07-23T10:59:09.507552,271
2025-07-23T10:59:09.507552,281
2025-07-23T10:59:09.712095,499
2025-07-23T10:59:09.718209,511
2025-07-23T10:59:09.903556,392
2025-07-23T10:59:10.105915,291
2025-07-23T10:59:10.105915,291
2025-07-23T10:59:10.121628,292
2025-07-23T10:59:10.121628,288
2025-07-23T10:59:10.321662,288
2025-07-23T10:59:10.321662,286
2025-07-23T10:59:10.520109,287
2025-07-23T10:59:10.535906,289
2025-07-23T10:59:10.717395,285
2025-07-23T10:59:10.736635,513
2025-07-23T10:59:10.939949,425
2025-07-23T10:59:11.144091,283
2025-07-23T10:59:11.156466,268
2025-07-23T10:59:11.348042,281
2025-07-23T10:59:11.537479,284
2025-07-23T10:59:11.553585,287
2025-07-23T10:59:11.721803,284
2025-07-23T10:59:11.721803,515
2025-07-23T10:59:11.954817,487
2025-07-23T10:59:11.978241,282
2025-07-23T10:59:12.153526,263
2025-07-23T10:59:12.169249,247
2025-07-23T10:59:12.370871,247
2025-07-23T10:59:12.567156,273
2025-07-23T10:59:12.740727,454
2025-07-23T10:59:12.971551,518
2025-07-23T10:59:12.990212,280
2025-07-23T10:59:13.190604,277
2025-07-23T10:59:13.190604,277
2025-07-23T10:59:13.391366,281
2025-07-23T10:59:13.591632,293
2025-07-23T10:59:13.605329,487
2025-07-23T10:59:13.753232,515
2025-07-23T10:59:13.807932,508
2025-07-23T10:59:14.008840,497
2025-07-23T10:59:14.011035,302
2025-07-23T10:59:14.214967,299
2025-07-23T10:59:14.214967,291
2025-07-23T10:59:14.217439,284
2025-07-23T10:59:14.420707,288
2025-07-23T10:59:14.619896,290
2025-07-23T10:59:14.635750,446
2025-07-23T10:59:14.754876,509
2025-07-23T10:59:14.824037,514
2025-07-23T10:59:14.831940,508
2025-07-23T10:59:15.036308,290
2025-07-23T10:59:15.239915,290
2025-07-23T10:59:15.437170,276
2025-07-23T10:59:15.647955,268
2025-07-23T10:59:15.649950,410
2025-07-23T10:59:15.769493,509
2025-07-23T10:59:15.769493,520
2025-07-23T10:59:15.856645,502
2025-07-23T10:59:16.054580,512
2025-07-23T10:59:16.255092,286
2025-07-23T10:59:16.277762,286
2025-07-23T10:59:16.469481,283
2025-07-23T10:59:16.470687,279
2025-07-23T10:59:16.672787,505
2025-07-23T10:59:16.772268,512
2025-07-23T10:59:16.872809,511
2025-07-23T10:59:17.080128,306
2025-07-23T10:59:17.094775,298
2025-07-23T10:59:17.272473,297
2025-07-23T10:59:17.491538,288
2025-07-23T10:59:17.491538,292
2025-07-23T10:59:17.491538,293
2025-07-23T10:59:17.688983,324
2025-07-23T10:59:17.698782,506
2025-07-23T10:59:17.901452,506
2025-07-23T10:59:17.911058,311
2025-07-23T10:59:18.107215,307
2025-07-23T10:59:18.107215,285
2025-07-23T10:59:18.307758,293
2025-07-23T10:59:18.508706,458
2025-07-23T10:59:18.722008,485
2025-07-23T10:59:18.739099,299
2025-07-23T10:59:18.921160,288
2025-07-23T10:59:18.936967,283
2025-07-23T10:59:18.938785,292
2025-07-23T10:59:19.131653,293
2025-07-23T10:59:19.334076,297
2025-07-23T10:59:19.335807,316
2025-07-23T10:59:19.538044,503
2025-07-23T10:59:19.541198,505
2025-07-23T10:59:19.556025,511
2025-07-23T10:59:19.744740,315
2025-07-23T10:59:19.756027,310
2025-07-23T10:59:19.937983,309
2025-07-23T10:59:19.953728,310
2025-07-23T10:59:20.155344,319
2025-07-23T10:59:20.358656,317
2025-07-23T10:59:20.362867,484
2025-07-23T10:59:20.565474,503
2025-07-23T10:59:20.755059,502
2025-07-23T10:59:20.770821,326
2025-07-23T10:59:20.770821,320
2025-07-23T10:59:20.810075,325
2025-07-23T10:59:20.972516,341
2025-07-23T10:59:20.972516,346
2025-07-23T10:59:21.173186,342
2025-07-23T10:59:21.369598,302
2025-07-23T10:59:21.385567,506
2025-07-23T10:59:21.589435,511
2025-07-23T10:59:21.589435,502
2025-07-23T10:59:21.785755,307
2025-07-23T10:59:21.986610,318
2025-07-23T10:59:22.187368,322
2025-07-23T10:59:22.203440,301
2025-07-23T10:59:22.203440,308
2025-07-23T10:59:22.401778,504
2025-07-23T10:59:22.401778,509
2025-07-23T10:59:22.602403,516
2025-07-23T10:59:22.602403,509
2025-07-23T10:59:22.602403,362
2025-07-23T10:59:23.021694,294
2025-07-23T10:59:23.023232,298
2025-07-23T10:59:23.023232,291
2025-07-23T10:59:23.223687,284
2025-07-23T10:59:23.236098,507
2025-07-23T10:59:23.430531,510
2025-07-23T10:59:23.430531,510
2025-07-23T10:59:23.634490,346
2025-07-23T10:59:23.836568,312
2025-07-23T10:59:23.836568,305
2025-07-23T10:59:23.836568,303
2025-07-23T10:59:24.035672,305
2025-07-23T10:59:24.056155,310
2025-07-23T10:59:24.249567,316
2025-07-23T10:59:24.458577,314
2025-07-23T10:59:24.660403,311
2025-07-23T10:59:24.837383,303
2025-07-23T10:59:24.857553,303
2025-07-23T10:59:25.064374,299
2025-07-23T10:59:25.064374,292
2025-07-23T10:59:25.266567,298
2025-07-23T10:59:25.469472,286
2025-07-23T10:59:25.671687,288
2025-07-23T10:59:25.671687,288
2025-07-23T10:59:25.687840,285
2025-07-23T10:59:25.855595,287
2025-07-23T10:59:25.894888,297
2025-07-23T10:59:26.088179,336
2025-07-23T10:59:26.088179,303
2025-07-23T10:59:26.299243,306
2025-07-23T10:59:26.504792,314
2025-07-23T10:59:26.506120,317
2025-07-23T10:59:26.706913,316
2025-07-23T10:59:26.706913,307
2025-07-23T10:59:26.855224,297
2025-07-23T10:59:26.910582,297
2025-07-23T10:59:27.107006,316
