timestamp_iso,raw_tof,filtered_tof,t_detect,t_stop_command,response_time,total_time_from_start
2025-08-01T16:20:29.596471,1022,1022,,,,
2025-08-01T16:20:29.654751,1022,1022.0,,,,
2025-08-01T16:20:29.700831,1020,1021.5218855527786,,,,
2025-08-01T16:20:29.761610,1015,1019.9627816998246,,,,
2025-08-01T16:20:29.796692,1002,1015.6686489783397,,,,
2025-08-01T16:20:29.855607,984,1008.0980296780763,,,,
2025-08-01T16:20:29.888982,962,997.0779626893122,,,,
2025-08-01T16:20:29.954861,943,984.1502350702829,,,,
2025-08-01T16:20:30.000879,926,970.2490013220721,,,,
2025-08-01T16:20:30.054242,916,957.280385682365,,,,
2025-08-01T16:20:30.113012,909,945.7386107262856,,,,
2025-08-01T16:20:30.160855,901,935.0435226578604,,,,
2025-08-01T16:20:30.221199,893,924.9927148604592,,,,
2025-08-01T16:20:30.262439,881,914.4759385868211,,,,
2025-08-01T16:20:30.321092,867,903.1264725199441,,,,
2025-08-01T16:20:30.360864,852,890.9043199463181,,,,
2025-08-01T16:20:30.421449,833,877.0618739848862,,,,
2025-08-01T16:20:30.455503,818,862.9427063688149,,,,
2025-08-01T16:20:30.521329,804,848.8520266321859,,,,
2025-08-01T16:20:30.561000,793,835.5001962124653,,,,
2025-08-01T16:20:30.617573,782,822.7105878432862,,,,
2025-08-01T16:20:30.662779,773,810.826912729415,,,,
2025-08-01T16:20:30.720952,762,799.1544865348396,,,,
2025-08-01T16:20:30.780980,750,787.4037514558119,,,,
2025-08-01T16:20:30.821117,735,774.8762561260008,,,,
2025-08-01T16:20:30.881439,720,761.75769069437,,,,
2025-08-01T16:20:30.920893,704,747.950297514809,,,,
2025-08-01T16:20:30.981175,690,734.0968602835054,,,,
2025-08-01T16:20:31.021427,678,720.686500610854,,,,
2025-08-01T16:20:31.081190,665,707.3742403822283,,,,
2025-08-01T16:20:31.140903,654,694.6147426641232,,,,
2025-08-01T16:20:31.179154,643,682.2758655854577,,,,
2025-08-01T16:20:31.237837,645,673.364800650913,,,,
2025-08-01T16:20:31.295408,601,656.0654723201649,,,,
2025-08-01T16:20:31.340919,584,638.8377005891133,,,,
2025-08-01T16:20:31.401968,567,621.664379335704,,,,
2025-08-01T16:20:31.440618,563,607.6402356868664,,,,
2025-08-01T16:20:31.501043,549,593.6218637516877,,,,
2025-08-01T16:20:31.541260,526,577.456368747829,,,,
2025-08-01T16:20:31.601180,522,564.1991232034424,,,,
2025-08-01T16:20:31.640692,509,551.003374064683,,,,
2025-08-01T16:20:31.701212,496,537.8544201715598,,,,
2025-08-01T16:20:31.761215,483,524.7410747825726,,,,
2025-08-01T16:20:31.800748,468,511.1767109803643,,,,
2025-08-01T16:20:31.860895,453,497.269147974597,,,,
2025-08-01T16:20:31.900897,439,483.33948723762944,,,,
2025-08-01T16:20:31.960905,427,469.8711258389519,,,,
2025-08-01T16:20:32.000498,413,456.27567239227795,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:32.060905,400,442.8225663933553,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:32.100700,389,429.95589310375783,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:32.160915,382,418.49169044260253,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:32.201217,380,409.2899737933119,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:32.260914,384,403.2442228730957,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:32.300934,387,399.36092405334017,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:32.360913,391,397.36218476232887,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:32.400918,392,396.08031576055896,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:32.460928,392,395.10488680338483,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:32.513371,391,394.1235839609315,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:32.560918,393,393.8549830987377,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:32.601551,391,393.17247876569803,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:32.660933,393,393.13124647083845,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:32.703193,392,392.86081383030046,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:32.761032,394,393.1331445132045,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:32.800511,391,392.6232009083175,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:32.861259,392,392.4742202294234,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:32.904369,391,392.12179723438675,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:32.960543,393,392.33173794930144,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:33.021262,392,392.25243359617514,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:33.061270,392,392.19208752152747,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:33.121265,391,391.9071103883302,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:33.161686,392,391.9293163209983,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
