elapsed_time,current_x,error,derivative,speed
1.2723658084869385,0.0,2.0,20.0,6.0
1.3880400657653809,0.0,2.0,0.0,4.0
1.5061609745025635,0.0,2.0,0.0,4.0
1.6229526996612549,0.0,2.0,0.0,4.0
1.7323887348175049,0.1635,1.8365,-1.6349999999999998,3.5095
1.839712142944336,0.26413,1.73587,-1.0063,3.37111
1.9563021659851074,0.35169,1.64831,-0.8756000000000008,3.20906
2.0717709064483643,0.42148,1.57852,-0.6979000000000002,3.08725
2.188591480255127,0.4915,1.5085,-0.7001999999999997,2.94698
2.3028573989868164,0.66015,1.33985,-1.6864999999999997,2.51105
2.4062259197235107,0.7414,1.2586,-0.8125000000000004,2.43595
2.5217463970184326,0.7414,1.2586,0.0,2.5172
2.6391842365264893,0.81636,1.18364,-0.7495999999999992,2.29232
2.7538812160491943,0.89257,1.10743,-0.7621000000000011,2.1386499999999997
2.8707661628723145,1.01466,0.9853400000000001,-1.220899999999998,1.8485900000000004
2.987116813659668,1.09673,0.90327,-0.8207000000000009,1.72447
3.105111598968506,1.17623,0.8237699999999999,-0.7950000000000013,1.5680399999999997
3.2224934101104736,1.25431,0.74569,-0.7807999999999993,1.4133
3.3385677337646484,1.49559,0.50441,-2.4127999999999994,0.7675400000000001
3.45568585395813,1.49559,0.50441,0.0,1.00882
3.5562500953674316,1.65142,0.3485799999999999,-1.5583000000000014,0.5413299999999996
3.6725940704345703,1.7258,0.2742,-0.7437999999999989,0.4740200000000001
3.7869160175323486,1.7258,0.2742,0.0,0.5484
3.904205799102783,1.7258,0.2742,0.0,0.5484
4.004291534423828,1.80217,0.19782999999999995,-0.7637000000000005,0.31928999999999985
4.121671438217163,1.85632,0.14368000000000003,-0.5414999999999992,0.23321000000000014
4.238175392150879,1.92917,0.07082999999999995,-0.7285000000000008,0.06880999999999982
4.340606927871704,1.99286,0.007139999999999924,-0.6369000000000002,-0.049410000000000176
