timestamp,target_name,iteration,markers_found,marker_id,marker_x,marker_y,marker_w,marker_h,error_x,error_y,yaw_speed,pitch_speed,locked,fired,elapsed_time,response_time_summary
14:07:18.603448,left,1,1,heart,0.66172,0.42778,0.07969,0.13333,0.1617199999999999,-0.07222,29.109599999999997,12.9996,0,0,1.356,0.0
14:07:18.807266,left,2,1,heart,0.67656,0.49861,0.08125,0.13056,0.17656,-0.00139,31.78080000000001,0.2502000000000004,0,0,1.56,0.0
14:07:19.011643,left,3,2,heart,0.36172,0.50139,0.05781,0.11389,-0.13828,0.00139,-24.890400000000003,-0.2502000000000004,0,0,1.765,0.0
14:07:19.213711,left,4,1,heart,0.57891,0.51806,0.07031,0.125,0.07891,0.0180599999999999,14.203800000000006,-3.2507999999999937,0,0,1.967,0.0
14:07:19.418602,left,5,3,heart,0.3625,0.49861,0.05937,0.11389,-0.1375,-0.00139,-24.750000000000004,0.2502000000000004,0,0,2.172,0.0
14:07:19.620934,left,6,1,heart,0.59688,0.50833,0.07187,0.12778,0.0968799999999999,0.0083299999999999,17.438399999999994,-1.4993999999999907,0,0,2.374,0.0
14:07:19.837443,left,7,3,heart,0.38281,0.49028,0.05625,0.11389,-0.11719,-0.00972,-21.094200000000004,1.7496000000000012,0,0,2.59,0.0
14:07:20.039461,left,8,3,heart,0.36641,0.4875,0.05781,0.11389,-0.13359,-0.0125,-24.0462,2.2500000000000018,0,0,2.792,0.0
14:07:20.241041,left,9,2,heart,0.39922,0.49444,0.05781,0.11111,-0.1007799999999999,-0.00556,-18.140399999999996,1.0008000000000017,0,0,2.994,0.0
14:07:20.443588,left,10,2,heart,0.44844,0.50694,0.05625,0.11389,-0.0515599999999999,0.0069399999999999,-9.2808,-1.2491999999999903,0,0,3.196,0.0
14:07:20.645508,left,11,2,heart,0.47812,0.5125,0.05625,0.11389,-0.02188,0.0124999999999999,-3.938400000000002,-2.249999999999992,0,0,3.398,0.0
14:07:20.847285,left,12,2,heart,0.49453,0.50972,0.05781,0.11389,-0.0054699999999999,0.0097199999999999,-0.9845999999999956,-1.7495999999999912,0,0,3.6,0.0
14:07:21.024546,left,12,2,heart,0.49453,0.50972,0.05781,0.11389,-0.0054699999999999,0.0097199999999999,0.0,0.0,1,1,3.777,0.0
